dataset,policy_episode,policy_layers,policy_neurons,policy_loss,policy_probs,lr optimizer,search_space,state,max depth of child network,child_steps_episod,steps,reward,network_accuracy,moving_accuracy,total_reward,gradients_entropty_avg,gradients_entropty_std,trainable_variables,time_taken
mnist,25,2,35,78.34,"['0.057', '0.050', '0.050', '0.058']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.05, 0.004, 0.75]",9,50,1176,0.99,98.71,98.72,25.15,694.39,52.26,2712266,145.38
mnist,26,2,35,92.275,"['0.058', '0.050', '0.050', '0.059']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.1, 0.001, 0.9]",9,50,1519,0.99,98.8,98.81,26.14,694.29,53.35,2712266,149.91
mnist,27,2,35,39.555,"['0.054', '0.050', '0.050', '0.055']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.06, 0.8]",9,50,1519,0.98,98.32,98.71,27.12,695.56,55.8,2712266,150.63
mnist,28,2,35,81.294,"['0.058', '0.050', '0.050', '0.060']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.05, 0.07, 0.75]",9,50,1519,0.96,96.17,98.2,28.08,701.93,59.76,2712266,151.48
mnist,29,2,35,35.397,"['0.053', '0.050', '0.050', '0.054']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.3, 0.06, 0.7]",9,50,1813,0.97,97.16,97.28,29.06,698.51,55.25,2712266,155.57
mnist,30,2,35,139.165,"['0.065', '0.050', '0.050', '0.069']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.1, 0.07, 0.85]",9,50,1813,0.97,97.09,97.25,30.03,697.34,54.26,2712266,156.33
mnist,31,2,35,79.889,"['0.055', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.15, 0.06, 0.75]",9,50,1225,0.99,98.88,99.0,31.01,694.02,61.46,2712266,171.53
mnist,32,2,35,38.151,"['0.054', '0.050', '0.050', '0.055']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.85]",9,50,1225,0.99,98.72,98.94,32.0,694.17,60.0,2712266,172.26
mnist,33,2,35,100.648,"['0.057', '0.050', '0.050', '0.058']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.15, 0.005, 0.9]",9,50,1666,0.99,99.1,99.11,32.99,693.04,59.31,2712266,177.78
mnist,34,2,35,108.69,"['0.063', '0.050', '0.050', '0.066']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.1, 0.03, 0.7]",9,50,1666,0.98,97.63,98.82,33.97,696.77,53.87,2712266,178.52
mnist,35,2,35,28.455,"['0.053', '0.050', '0.050', '0.053']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.95]",9,50,1715,0.97,97.24,98.37,34.94,697.47,73.24,2712266,179.82
mnist,36,2,35,153.214,"['0.064', '0.050', '0.050', '0.067']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.1, 0.008, 0.7]",9,50,1715,0.96,96.41,97.98,35.91,699.99,53.6,2712266,180.63
mnist,37,2,35,150.492,"['0.066', '0.050', '0.050', '0.070']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.07, 0.85]",9,50,1862,0.98,98.16,98.19,36.89,694.65,66.54,2712266,183.18
mnist,38,2,35,97.989,"['0.059', '0.050', '0.050', '0.060']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.008, 0.85]",9,50,1078,0.99,98.99,99.03,37.88,693.07,54.61,2712266,197.24
mnist,39,2,35,42.278,"['0.054', '0.050', '0.050', '0.055']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.85]",9,50,1127,0.99,99.0,99.03,38.87,692.86,55.96,2712266,198.63
mnist,40,2,35,75.491,"['0.055', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.2, 0.02, 0.95]",9,50,1127,0.97,96.88,98.6,39.84,699.04,43.12,2712266,199.46
mnist,41,2,35,78.252,"['0.061', '0.050', '0.050', '0.064']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.3, 0.07, 0.7]",9,50,1176,0.97,97.18,98.16,40.81,697.81,64.85,2712266,200.85
mnist,42,2,35,99.157,"['0.056', '0.050', '0.050', '0.057']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.1, 0.03, 0.95]",9,50,1225,0.96,96.14,97.66,41.77,699.3,71.61,2712266,202.22
mnist,43,2,35,117.258,"['0.062', '0.050', '0.050', '0.064']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.05, 0.09, 0.85]",9,50,1813,0.98,98.3,98.63,42.75,693.4,54.97,2712266,210.13
mnist,44,2,35,29.81,"['0.053', '0.050', '0.050', '0.053']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.3, 0.06, 0.95]",9,50,1813,0.96,95.79,98.06,43.71,700.87,73.79,2712266,210.95
mnist,45,2,35,96.342,"['0.055', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.2, 0.07, 0.85]",9,50,1862,0.97,96.52,97.57,44.68,698.12,77.76,2712266,212.42
mnist,46,2,35,72.769,"['0.060', '0.050', '0.050', '0.062']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.3, 0.03, 0.85]",9,50,49,0.98,97.51,97.56,45.65,696.52,53.33,2712266,214.15
mnist,47,2,35,32.569,"['0.053', '0.050', '0.050', '0.054']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.06, 0.7]",9,50,784,0.99,99.08,99.09,46.64,693.02,57.76,2712266,224.0
mnist,48,2,35,110.083,"['0.060', '0.050', '0.050', '0.062']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.1, 0.002, 0.95]",9,50,784,0.98,97.89,98.85,47.62,696.1,56.13,2712266,224.84
mnist,49,2,35,115.822,"['0.057', '0.050', '0.050', '0.058']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.05, 0.008, 0.75]",9,50,1029,0.98,98.26,98.37,48.6,695.38,54.59,2712266,228.44
mnist,50,2,35,36.711,"['0.054', '0.050', '0.050', '0.054']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.8]",9,50,1421,0.99,98.99,98.99,49.59,692.56,58.13,2712266,233.99
mnist,51,2,35,96.273,"['0.061', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.05, 0.01, 0.7]",9,50,1421,0.98,97.92,98.78,50.57,695.27,52.68,2712266,234.83
mnist,52,2,35,53.323,"['0.052', '0.050', '0.050', '0.053']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.05, 0.09, 0.75]",9,50,1874,0.99,99.03,99.08,51.56,692.25,61.21,2712266,241.26
mnist,53,2,35,46.383,"['0.055', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.3, 0.06, 0.95]",9,50,1874,0.97,97.24,98.71,52.53,697.02,75.76,2712266,241.74
mnist,54,2,35,69.918,"['0.053', '0.050', '0.050', '0.053']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.02, 0.9]",9,50,490,0.99,99.12,99.15,53.53,692.6,62.37,2712266,248.21
mnist,55,2,35,136.383,"['0.062', '0.050', '0.050', '0.065']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.25, 0.002, 0.85]",9,50,490,0.98,98.04,98.93,54.51,695.93,59.58,2712266,249.01
mnist,56,2,35,90.924,"['0.059', '0.050', '0.050', '0.061']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.1, 0.006, 0.75]",9,50,1274,0.99,99.3,99.33,55.5,692.26,57.36,2712266,259.38
mnist,57,2,35,71.327,"['0.055', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.2, 0.07, 0.85]",9,50,1274,0.98,97.66,98.99,56.48,696.22,57.33,2712266,260.21
mnist,58,2,35,89.41,"['0.062', '0.050', '0.050', '0.065']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.1, 0.008, 0.75]",9,50,245,0.99,99.24,99.26,57.47,692.16,58.41,2712266,271.5
mnist,59,2,35,57.431,"['0.053', '0.050', '0.050', '0.053']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.001, 0.8]",9,50,245,0.99,99.18,99.24,58.46,692.13,59.68,2712266,272.14
mnist,60,2,35,104.245,"['0.061', '0.050', '0.050', '0.064']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.25, 0.07, 0.8]",9,50,245,0.98,97.79,98.95,59.44,696.57,67.85,2712266,272.94
mnist,61,2,35,108.833,"['0.061', '0.050', '0.050', '0.064']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.2, 0.007, 0.8]",9,50,1225,0.99,99.36,99.37,60.43,692.26,57.65,2712266,285.81
mnist,62,2,35,103.055,"['0.060', '0.050', '0.050', '0.062']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.15, 0.007, 0.9]",9,50,1225,0.99,99.26,99.35,61.42,691.84,59.07,2712266,286.59
