dataset,policy_episode,policy_layers,policy_neurons,policy_loss,policy_probs,lr optimizer,search_space,state,max depth of child network,child_steps_episod,steps,reward,network_accuracy,moving_accuracy,total_reward,gradients_entropty_avg,gradients_entropty_std,trainable_variables,time_taken
fashion_mst,24,2,35,118.725,"['0.068', '0.050', '0.050', '0.068']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.01, 0.75]",9,50,98,0.9,89.7,89.95,20.91,713.78,182.19,2712266,165.08
fashion_mst,25,2,35,104.368,"['0.067', '0.050', '0.050', '0.067']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.1, 0.002, 0.7]",9,50,980,0.9,90.42,90.42,21.81,714.15,189.5,2712266,176.83
fashion_mst,26,2,35,102.019,"['0.059', '0.050', '0.050', '0.059']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.2, 0.04, 0.95]",9,50,980,0.87,87.47,89.83,22.69,724.44,290.52,2712266,177.61
fashion_mst,27,2,35,111.362,"['0.067', '0.050', '0.050', '0.067']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.15, 0.007, 0.85]",9,50,980,0.85,84.54,88.77,23.53,724.77,267.84,2712266,178.59
fashion_mst,28,2,35,95.608,"['0.073', '0.050', '0.050', '0.077']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.7]",9,50,1029,0.88,88.15,88.65,24.42,716.36,230.79,2712266,180.03
fashion_mst,29,2,35,90.172,"['0.072', '0.050', '0.050', '0.074']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.8]",9,50,1029,0.87,87.15,88.35,25.29,711.59,207.07,2712266,180.87
fashion_mst,30,2,35,90.15,"['0.072', '0.050', '0.050', '0.074']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.8]",9,50,1127,0.88,88.16,88.32,26.17,718.62,237.99,2712266,182.89
fashion_mst,31,2,35,132.543,"['0.071', '0.050', '0.050', '0.072']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.15, 0.08, 0.8]",9,50,1127,0.82,82.21,87.09,26.99,727.16,272.65,2712266,184.35
fashion_mst,32,2,35,74.438,"['0.061', '0.050', '0.050', '0.060']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.05, 0.006, 0.75]",9,50,294,0.9,90.16,90.17,27.89,713.79,196.66,2712266,197.49
fashion_mst,33,2,35,82.346,"['0.061', '0.050', '0.050', '0.060']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.002, 0.9]",9,50,294,0.9,90.12,90.16,28.79,714.06,195.78,2712266,198.35
fashion_mst,34,2,35,74.045,"['0.060', '0.050', '0.050', '0.059']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.3, 0.07, 0.85]",9,50,294,0.83,82.79,88.69,29.62,731.08,239.88,2712266,199.19
fashion_mst,35,2,35,94.089,"['0.072', '0.050', '0.050', '0.076']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.95]",9,50,343,0.84,83.69,87.31,30.46,731.35,246.74,2712266,200.63
fashion_mst,36,2,35,107.421,"['0.067', '0.050', '0.050', '0.067']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.15, 0.002, 0.7]",9,50,686,0.86,85.82,85.85,31.32,728.22,233.1,2712266,205.64
fashion_mst,37,2,35,93.825,"['0.064', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.1, 0.07, 0.85]",9,50,686,0.82,81.98,85.08,32.14,734.73,250.16,2712266,206.56
fashion_mst,38,2,35,133.474,"['0.071', '0.050', '0.050', '0.072']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.15, 0.008, 0.75]",9,50,1470,0.88,88.12,88.12,33.02,719.93,202.7,2712266,217.05
fashion_mst,39,2,35,84.837,"['0.066', '0.050', '0.050', '0.066']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.25, 0.09, 0.75]",9,50,1470,0.84,83.78,87.25,33.86,731.76,214.01,2712266,217.89
fashion_mst,40,2,35,68.488,"['0.058', '0.050', '0.050', '0.058']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.15, 0.07, 0.7]",9,50,98,0.89,88.86,88.95,34.74,716.82,235.21,2712266,224.85
fashion_mst,41,2,35,73.125,"['0.058', '0.050', '0.050', '0.058']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.007, 0.75]",9,50,931,0.9,90.15,90.19,35.65,715.23,197.15,2712266,235.96
fashion_mst,42,2,35,68.221,"['0.065', '0.050', '0.050', '0.066']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.06, 0.8]",9,50,931,0.89,89.44,90.04,36.54,716.18,204.13,2712266,236.86
fashion_mst,43,2,35,123.991,"['0.069', '0.050', '0.050', '0.070']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.07, 0.9]",9,50,931,0.88,88.0,89.63,37.42,712.49,181.92,2712266,237.74
fashion_mst,44,2,35,99.242,"['0.062', '0.050', '0.050', '0.061']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.05, 0.07, 0.9]",9,50,931,0.87,87.0,89.11,38.29,707.87,144.02,2712266,238.56
fashion_mst,45,2,35,107.112,"['0.066', '0.050', '0.050', '0.066']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.15, 0.04, 0.95]",9,50,980,0.87,86.71,88.46,39.16,722.62,293.93,2712266,240.01
fashion_mst,46,2,35,93.863,"['0.072', '0.050', '0.050', '0.076']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.95]",9,50,980,0.86,86.47,88.06,40.02,715.51,201.5,2712266,240.85
fashion_mst,47,2,35,119.678,"['0.068', '0.050', '0.050', '0.069']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.1, 0.008, 0.75]",9,50,196,0.89,89.01,89.05,40.91,716.02,209.9,2712266,254.59
fashion_mst,48,2,35,32.621,"['0.055', '0.050', '0.050', '0.054']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.2, 0.04, 0.75]",9,50,196,0.89,88.6,88.96,41.8,716.52,211.53,2712266,255.4
fashion_mst,49,2,35,85.708,"['0.070', '0.050', '0.050', '0.073']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.95]",9,50,196,0.84,83.73,87.91,42.63,719.86,261.21,2712266,256.2
fashion_mst,50,2,35,100.532,"['0.059', '0.050', '0.050', '0.059']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.05, 0.95]",9,50,245,0.86,85.77,87.18,43.49,715.81,229.64,2712266,260.25
fashion_mst,51,2,35,60.321,"['0.060', '0.050', '0.050', '0.060']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.05, 0.07, 0.95]",9,50,245,0.85,85.08,86.76,44.34,711.0,217.56,2712266,261.04
fashion_mst,52,2,35,95.072,"['0.072', '0.050', '0.050', '0.077']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.7]",9,50,1225,0.9,89.64,89.7,45.24,714.96,203.15,2712266,273.77
fashion_mst,53,2,35,121.942,"['0.064', '0.050', '0.050', '0.065']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.2, 0.008, 0.95]",9,50,1225,0.85,84.52,88.67,46.08,724.96,244.84,2712266,274.58
fashion_mst,54,2,35,74.489,"['0.057', '0.050', '0.050', '0.057']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.05, 0.007, 0.9]",9,50,343,0.91,90.58,90.71,46.99,709.69,150.91,2712266,287.87
fashion_mst,55,2,35,131.036,"['0.071', '0.050', '0.050', '0.073']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.2, 0.03, 0.9]",9,50,343,0.9,90.2,90.61,47.89,710.43,145.03,2712266,288.73
fashion_mst,56,2,35,99.007,"['0.073', '0.050', '0.050', '0.079']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.85]",9,50,343,0.9,89.89,90.47,48.79,705.63,114.02,2712266,289.61
fashion_mst,57,2,35,78.462,"['0.058', '0.050', '0.050', '0.058']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.09, 0.85]",9,50,343,0.89,89.21,90.22,49.68,702.77,114.69,2712266,290.46
fashion_mst,58,2,35,110.034,"['0.069', '0.050', '0.050', '0.071']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.2, 0.09, 0.8]",9,50,343,0.83,82.6,88.69,50.51,725.56,239.31,2712266,291.34
fashion_mst,59,2,35,108.963,"['0.063', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.001, 0.7]",9,50,1421,0.9,89.77,89.8,51.41,706.69,129.9,2712266,304.57
fashion_mst,60,2,35,110.442,"['0.064', '0.050', '0.050', '0.065']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.05, 0.02, 0.7]",9,50,1421,0.86,85.53,88.94,52.26,723.52,231.5,2712266,305.41
fashion_mst,61,2,35,98.89,"['0.073', '0.050', '0.050', '0.079']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.85]",9,50,1519,0.89,88.95,89.05,53.15,714.72,200.6,2712266,307.28
fashion_mst,62,2,35,96.188,"['0.072', '0.050', '0.050', '0.078']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.75]",9,50,98,0.9,89.72,89.94,54.05,713.08,200.2,2712266,313.3
fashion_mst,63,2,35,114.045,"['0.067', '0.050', '0.050', '0.069']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.25, 0.08, 0.75]",9,50,98,0.9,89.64,89.88,54.95,709.58,173.29,2712266,314.11
fashion_mst,64,2,35,111.816,"['0.060', '0.050', '0.050', '0.060']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.002, 0.85]",9,50,98,0.89,89.24,89.75,55.84,711.34,204.67,2712266,314.95
fashion_mst,65,2,35,93.426,"['0.071', '0.050', '0.050', '0.077']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.95]",9,50,98,0.86,86.15,89.03,56.7,707.93,253.8,2712266,315.75
